"ano_mes_dia","receita_gerada_dia","receita_acumulada_ano"
"2018-08-16",34049.95,7787624.02
"2018-08-17",33295.40,7820919.42
"2018-08-18",24361.88,7845281.30
"2018-08-19",27179.27,7872460.57
"2018-08-20",36030.94,7908491.51
"2018-08-21",26443.41,7934934.92
"2018-08-22",20312.96,7955247.88
"2018-08-23",17497.44,7972745.32
"2018-08-24",9972.80,7982718.12
"2018-08-25",10204.20,7992922.32
"2018-08-26",8277.24,8001199.56
"2018-08-27",5544.25,8006743.81
"2018-08-28",4069.37,8010813.18
"2018-08-29",2571.54,8013384.72
"2018-09-03",145.00,8013529.72
