Lastname,Name,Team,Position,Games Played,Goals,Missed,Field Goals,Penalty Goals,Shooting Accuracy,Assists,Technical Faults,Steals,Blocks,Yellow Cards,2 Min Exclusion,Red Cards,Blue Cards,Season,Tier
Grupe,Magnus,RNL,,3,1,2,1,0,0.3333,0.0,1,0,0,0,0,0,0,22/23,A
Jacobs,Jann Keno,BER ,P,1,1,0,1,0,1.0,0.0,999,0,0,0,0,0,0,22/23,A
Pabst,Henri,THW ,RB,16, 1 ,4,1,0,0.2,2.0,0,1,0,0,0,0,0,22/23,A
Diekmann,Jan Malte,GWD,RW,-1,1,3,1,0,0.25,1.0,1,0,0,0,0,0,0,22/23,A
Kunkel,Gil,GWD,RB,2, 1 ,0,1,0,1.0,0.0,0,0,0,0,0,0,0,22/23,A
Ohl,Lasse,MTM,P,10,1,1,1,0,0.5,0.0,0,0,0,0,0,0,0,22/23,A
Hartwig,Alexander,HSV,LW,-4,1,0,1,0,1.0,,0,0,0,0,0,0,0,22/23,A
Exner,Aaron,BHC,CB,1,1,0,0,1,1.0,0.0,0,0,0,0,0,0,0,22/23,A
Gossner,Tim,FAG,RW,1,1,2,1,0,0.3333,0.0,0,0,0,0,0,0,0,22/23,A
Semisch,Malte,GWD ,GK,34,0,0,0,0,0.0,16.0,8,0,0,0,0,0,0,22/23,A
Szucs,Csaba,BHC,CB,13,0,0,0,0,0.0,3.0,1,1,0,0,1,0,0,22/23,A
Ristovski,Borko,TBV,GK,9,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,22/23,A
Rebmann,Daniel,FAG,GK,34,0.0,0,0,0,0.0,6.0,2,0,0,0,0,0,0,22/23,A
Fuchs,Markus,ASV,LB,28,0,0,0,0,0.0,2.0,1,1,18,1,15,0,0,22/23,A
Hertlein,Felix,ASV,GK,33,0,0,0,0,0.0,2.0,2,1,0,0,0,0,0,22/23,A
Roscheck,Bastian,HAN,P,8,0,0,0,0,0.0,2.0,0,0,1,0,2,1,0,22/23,A
Honicke,Jonas,LEI,CB,3,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Wolf,Tom,MTM,LB,1,0,0,0,0,0.0,0.0,999,0,0,0,0,0,0,22/23,A
Birlehm,Joel,RNL,GK,-27,0,0,0,0,1.57,6.0,1,0,0,0,0,0,0,22/23,A
Hassferter,Michael,HCE,,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Wesemann,Jan,ASV,GK,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Kellner,Benedikt,HCE,CB,2, 0 ,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Lehmann,Nick,TVB,GK,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Zecher,Finn,TBV,GK,34,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,22/23,A
Ende,Moritz,BER ,RW,14,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Kastelic,Urh,TBV,GK,23,0,0,0,0,0.0,2.0,4,0,0,0,0,0,0,22/23,A
Kireev,Victor,BER,GK,31,0,0,0,0,0.0,1.0,0,0,0,0,0,1,0,22/23,A
Morawski,Adam,MTM,GK,34,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,22/23,A
Saeveraas,Kristian,LEI ,GK,34,0,0,0,0,0.0,15.0,999,0,0,0,0,0,0,22/23,A
Shamir,Yahav,GWD,GK,33,0,0,0,0,0.0,4.0,0,0,0,0,0,0,0,22/23,A
Ehlers,Matteo,HAN ,CB,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Norsten,Fabian,GUM,GK,34,0,0,0,0,0.0,1.0,2,0,0,0,0,0,0,22/23,A
Kloor,Tim,SCM,RW,7,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Juric,Petar,HAN,CB,7, 0 ,0,0,0,0.0,,0,1,0,0,0,0,0,22/23,A
Wissmann,Yannick,TVB,LW,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Gores,Tom,BER,GK,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Kix,Marvin,BER,RW,1,0,0,0,0,0.0,0.0,999,0,0,0,0,0,0,22/23,A
Fanger,Julius,GUM,CB,6,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Obling,Bertram,HCE,GK,33,0,0,0,0,0.0,4.0,2,0,0,0,0,0,0,22/23,A
Walter,Marc,BER,P,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Ludwig,Lasse,BER,GK,7,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,22/23,A
Grazioli,Leonard,WET,GK,4,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Bochmann,Pascal,LEI,GK,3,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Muhlenstadt,Timon,TBV,GK,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Orlov,Maxim,BER,CB,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Oberosler,Louis,BHC,GK,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Kooij,Lars Mitchell,ASV,P,4,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Oetjen,Thore,TBV,P,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Buchele,Julian,FAG,GK,3,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Behrendt,Niclas,SCM,GK,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Backhaus,Theodor Felix,HAN,GK,2,0,0,0,0,1.57,0.0,0,0,0,0,0,0,0,22/23,A
Grupe,Mats,RNL,GK,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Houtepen,Thomas,TBV,CB,-14,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,22/23,A
Okpara,Maduwuike,WET,P,5,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Mattausch,Patrick,GWD ,LW,5,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Grabitz,Lucas,GWD ,GK,7,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Moussa,Noah,ASV,LB,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Goldbecker,Leon,TBV,GK,1,0,0,0,0,0.0,0.0,999,0,0,0,0,0,0,22/23,A
Runge,Malte,TBV,RW,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Fenske,Fabio Justin,GWD,P,2,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,22/23,A
Ruddat,Elias,SCM,LW,3,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Adam,Frederik,SGF,LW,2,0,0,0,0,0.0,0.0,999,0,0,0,0,0,0,22/23,A
Pereira,Francisco,BER,RW,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Depping,Luc,HAN,RW,3,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,22/23,A
Koster,Moritz,GUM,LB,3,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Martyn,Mateusz,LEI ,P,1,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Greilich,Nils,LEI,LW,1,0,0,0,0,1.57,0.0,0,0,0,0,0,0,0,22/23,A
Grundel,Finn Luca,HSV,GK,1,0,0,0,0,0.0,0.0,999,0,0,0,0,0,0,22/23,A
Hertzfeld,Tim Maximilian,SCM,,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Bredemeier,Heinrich,GWD,RW,-1,0.0,0,0,0,0.0,0.0,999,0,0,0,0,0,0,22/23,A
Horr,Manuel,MTM,CB,6,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Bones,Paul,LEI,CB,4,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,22/23,A
El-Tayar,Mohamed Essam Moustafa,LEI,GK,31,0,0,0,0,0.0,2.0,2,0,0,0,0,0,0,22/23,A
Pinski,Alexander,HSV ,GK,10,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Niemann,Max,HSV,CB,10,0,0,0,0,0.0,,3,0,0,0,0,0,0,22/23,A
Quardfasel,Mats Ove,HSV,RW,1,0,0,0,0,0.0,0.0,999,0,0,0,0,0,0,22/23,A
Eisele,Felix,FAG,,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Bacani,Nico,TVB,RW,4,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Bendiks,Bo Asmuss,SGF,GK,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Gautsch,Niklas,HAN,LB,7,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Teuteberg,Theodor,GWD,RB,4,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Kuhn,Benedikt,BER,RB,1,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Overby,Silas,BER,LB,5,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,22/23,A
Unbehaun,Levin,HSV,RW,4,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Schmitt,Ben Kjell,SGF,GK,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Abt,Valentin,FAG ,LW,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Kollmeier,Henrik,HAN,RB,3,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Buscher,Ben,BHC,LB,1,0,0,0,0,0.0,0.0,999,0,0,0,0,0,0,22/23,A
Lucas,Fabian,TVB,LB,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Lieke,Gregor,HSV,,1, 0 ,0,0,0,1.57,0.0,0,0,0,0,0,0,0,22/23,A
Czertowicz,Oskar,SGF,CB,3,0,0,0,0,0.0,0.0,999,0,0,0,0,0,0,22/23,A
Stegemeyer,Dennis,TVB ,GK,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,22/23,A
Gidsel,Mathias,BER,RB,31,248,94,248,0,0.7251000000000001,118.0,83,26,1,3,5,0,0,23/24,A
Zehnder,Manuel,EIS,,31,245,165,160,85,0.5976,54.0,80,4,1,3,6,0,0,23/24,A
Mortensen,Casper,HSV,LW,29,203,93,122,81,0.6858,9.0,999,18,0,0,1,0,0,23/24,A
Andersson,Lasse Bredekjaer,BER,LB,31,199,149,199,0,0.5718,97.0,74,22,1,1,6,1,0,23/24,A
Magnusson,Omar Ingi,SCM,RB,29,191,89,79,112,0.6820999999999999,85.0,32,6,1,2,6,0,0,23/24,A
Kristjansson,Viggo,LEI,RB,28,179.0,86,120,59,0.6755,,72,10,0,2,9,0,0,23/24,A
Lindberg,Hans,BER,RW,31,176,39,65,111,0.8186,9.0,6,7,0,0,0,0,0,23/24,A
Jakobsen,Emil,SGF,LW,29,173,66,110,63,0.7238,5.0,14,14,0,0,7,0,0,23/24,A
Hafner,Kai,TVB,RB,31,170,139,170,0,0.5502,99.0,59,6,3,1,8,0,0,23/24,A
Novak,Domen,WET,RW,31,170,60,100,70,0.7391,7.0,10,16,0,1,6,0,0,23/24,A
Schiller,Marcel,FAG,LW,29,155,61,79,76,0.7176,10.0,8,12,0,0,4,0,0,23/24,A
Rubin,Lenny,WET,LB,31,155,124,155,0,0.5556,74.0,73,13,6,0,7,0,0,23/24,A
Claar,Felix,SCM,CB,29,152,65,152,0,0.7005,78.0,38,11,2,5,10,0,0,23/24,A
Kirkelokke,Niclas,RNL,RB,30,148.0,128,147,1,0.5362,80.0,64,10,5,0,6,0,0,23/24,A
Zehnder,Samuel,TBV,LW,31,146,61,54,92,0.7053,3.0,7,8,1,0,3,0,0,23/24,A
Vujovic,Milos,GUM,LW,30,145,48,67,78,0.7513,5.0,11,2,0,0,4,2,0,23/24,A
Steinhauser,Marius,HAN,RW,29,140,40,97,43,0.7778,3.0,5,6,0,0,12,0,0,23/24,A
Kastening,Timo,MTM,RW,31,133,56,94,39,0.7037,5.0,11,14,0,0,1,0,0,23/24,A
Ekberg,Niclas,THW,RW,29,132,47,77,55,0.7373999999999999,14.0,4,15,0,0,1,0,0,23/24,A
Baijens,Dani,HSV,CB,23,132,92,132,0,0.5893,48.0,47,6,0,2,11,2,0,23/24,A
Knorr,Juri,RNL,CB,27,130,104,110,20,0.5556,90.0,85,7,0,1,6,0,0,23/24,A
Fernandez Jimenez,Daniel,TVB,LW,31,129,39,72,57,0.7679,4.0,5,11,0,0,1,0,0,23/24,A
Jonsson,Elvar Orn,MTM,CB,25,129,79,129,0,0.6202000000000001,41.0,36,0,10,4,11,0,0,23/24,A
Martinovic,Ivan,MTM,RB,26,128,69,89,39,0.6496999999999999,41.0,18,1,1,0,4,0,0,23/24,A
Koster,Julian,GUM,LB ,30,127,100,126,1,1.57,127.0,53,15,24,1,11,1,0,23/24,A
Kohlbacher,Jannik,RNL,P,30,126,44,126,0,0.7412000000000001,15.0,27,2,12,4,16,0,0,23/24,A
Klima,Matej,LEI,LB,30,125,92,125,0,0.5760000000000001,60.0,53,3,1,3,10,0,0,23/24,A
Lonn,Adam,TVB,LB,30,120,103,120,0,0.5381,72.0,42,3,12,4,20,2,0,23/24,A
Hutecek,Lukas,TBV,CB,31,120,70,120,0,0.6315999999999999,92.0,56,2,9,1,4,0,0,23/24,A
Johansson,Eric,THW,LB,29,120,80,115,5,0.6,87.0,40,4,4,2,2,0,0,23/24,A
Semper,Franz,LEI,RB,29,117,92,117,0,0.5598,43.0,33,3,0,0,6,1,0,23/24,A
Sarac,Josip,FAG,,28,116.0,64,116,0,0.6444,45.0,33,17,21,1,9,3,0,23/24,A
Moller,Lasse,SGF,LB,30,115,80,113,2,0.5897,63.0,36,5,1,2,5,0,0,23/24,A
Kristopans,Dainis,MTM,RB,31,113,73,113,0,0.6075,96.0,42,3,12,1,23,0,0,23/24,A
Kulesh,Uladzislau,HAN,LB,-31,111,85,111,0,0.5663,20.0,20,4,0,0,3,0,0,23/24,A
Ladefoged,Frederik,BHC,P,30,111,44,111,0,0.7161,16.0,38,0,13,2,23,1,0,23/24,A
Versteijnen,Niels Gerardus,TBV,RB,31,111.0,83,109,2,0.5722,66.0,55,1,0,0,5,0,0,23/24,A
Beyer,Noah,BHC,LW,28,110,41,66,44,0.7284999999999999,1.0,5,7,0,0,3,0,0,23/24,A
Golla,Johannes,SGF,P,30,106,39,106,0,0.731,9.0,19,7,29,4,11,1,0,23/24,A
Fischer,Justus,HAN,P,25,104,41,104,0,0.7172,17.0,22,10,10,1,5,0,0,23/24,A
Pytlick,Simon,SGF,,-24,101,73,101,0,0.5805,70.0,49,7,5,0,3,0,0,23/24,A
Marsenic,Mijajlo,BER,P,30,100,32,100,0,0.7576,5.0,23,7,29,5,29,4,0,23/24,A
Vidarsson,Ellidi Snaer,GUM,P,30,99,40,99,0,0.7121999999999999,8.0,21,1,7,2,7,2,0,23/24,A
Andersen,Frederik Bo,HSV,RW,30,99,43,85,14,0.6972,8.0,11,6,1,0,1,0,0,23/24,A
Schmidt,David,FAG,RB,29,98,92,98,0,0.5158,38.0,33,4,4,4,17,0,0,23/24,A
Tissier,Leif,HSV,CB,30,94,49,94,0,0.6573,77.0,44,6,3,2,8,0,0,23/24,A
Saugstrup,Magnus,SCM,P,28,94,10,93,1,0.9038,16.0,14,22,25,2,12,0,0,23/24,A
Bilyk,Nikola,THW,LB,29,93,61,93,0,0.6039,54.0,34,4,2,0,2,0,0,23/24,A
Vistorop,Filip,HBW,LB,27,93,99,87,6,0.4844,89.0,81,1,2,0,9,0,0,23/24,A
Jorgensen,Lukas,SGF,P,30,93,15,93,0,0.8611,10.0,12,10,8,0,9,0,0,23/24,A
Jeppsson,Simon,HCE,,31,91,79,84,7,0.5353,53.0,50,1,0,1,0,0,0,23/24,A
Buchner,Vincent,HAN,LW,-31,90,30,90,0,0.75,8.0,5,24,0,2,3,1,0,23/24,A
Andersen,Mads Kjeldgaard,BHC,LB,31,90.0,97,90,0,0.4813,85.0,43,7,0,1,2,0,0,23/24,A
Hornke,Tim,SCM,,29,89,30,76,13,0.7479,3.0,4,2,0,1,3,0,0,23/24,A
Olsson,Hampus,HCE,RW,29,89,40,88,1,0.6899,4.0,9,4,0,0,3,0,0,23/24,A
Stutzke,Lukas,BHC,LB,30,89,88,89,0,0.5028,66.0,43,3,17,1,26,1,0,23/24,A
Blohme,Lukas,GUM,RW,27,87,39,87,0,1.57,16.0,10,3,0,1,3,0,0,23/24,A
Gretarsson,Oddur,HBW,LW,27,87.0,38,23,64,0.696,3.0,4,4,1,0,3,0,0,23/24,A
Saul,Alexander,EIS,RB,30,87,47,87,0,0.6493000000000001,40.0,36,1,0,0,1,0,0,23/24,A
Binder,Lukas,LEI,LW,29,87,40,85,2,0.685,8.0,5,11,0,2,4,0,0,23/24,A
Uscins,Renars,HAN,RB,24,87,67,87,0,0.5649000000000001,53.0,31,3,2,0,2,0,0,23/24,A
Heymann,Sebastian,FAG,,30,86,73,86,0,0.5409,38.0,36,12,20,3,13,0,0,23/24,A
Lassen,Jacob Arenth,HSV,RB,21,86,59,86,0,0.5931000000000001,80.0,49,2,0,1,7,0,0,23/24,A
Snajder,Ivan,EIS,LW,31,86,41,65,21,0.6772,15.0,21,9,0,1,14,0,0,23/24,A
Zechel,Tim,HCE,P,31,85,21,82,3,0.8019,12.0,27,4,13,1,16,0,0,23/24,A
Balenciaga Azcue,Erik,MTM,CB,30,85,44,83,2,0.6589,98.0,70,9,3,0,3,0,0,23/24,A
More,David,RNL,LW,30,85,38,83,2,0.6911,3.0,5,5,0,0,1,0,0,23/24,A
Steinert,Christoph,HCE,RB,31, 84 ,76,45,39,0.525,54.0,28,2,2,0,7,0,0,23/24,A
Suton,Tim,TBV,CB,28,84,47,83,1,0.6412,73.0,52,2,6,6,18,2,0,23/24,A
Brosch,Jan,TBV,P,28,84,39,84,0,0.6829000000000001,8.0,20,3,18,3,19,1,0,23/24,A
Tollbring,Jerry,BER,LW,31,84,40,72,12,0.6774,13.0,3,12,0,1,3,0,0,23/24,A
Grgic,Marko,EIS,lb,24,84,45,84,0,0.6512,,39,4,4,0,2,0,0,23/24,A
Arnesson,Linus,BHC,CB,27,83,72,54,29,0.5355,59.0,34,4,5,2,4,0,0,23/24,A
Persson,Erik,FAG,RB,31,82,65,82,0,0.5578,35.0,31,3,1,1,13,0,0,23/24,A
Hansen,Johan,SGF,,30,81,49,78,3,0.6231,6.0,6,7,0,0,3,0,0,23/24,A
Gottfridsson,Jim,SGF,CB,28,80,39,79,1,0.6723,75.0,57,2,0,0,4,1,0,23/24,A
Cavor,Stefan,WET,RB,31,80,90,80,0,0.47,36.0,49,6,1,0,10,1,0,23/24,A
Tskhovrebadze,Giorgi,GUM,RB,29,80,69,80,0,0.54,44.0,48,0,0,0,1,0,0,23/24,A
Horzen,Kristjan,GUM,P,29,79,24,79,0,0.767,5.0,11,0,0,2,2,0,0,23/24,A
Wiencek,Patrick,THW ,P,29,78,30,78,0,0.7222,3.0,16,5,19,8,17,0,0,23/24,A
Bissel,Christopher,HCE,LW,31,78,36,78,0,0.6842,13.0,999,6,0,0,12,2,0,23/24,A
Reinkind,Harald,THW,RB,26,77,60,77,0,0.562,57.0,29,1,2,0,4,0,0,23/24,A
Zerbe,Lukas,TBV,RW,31,76,28,66,10,0.7308,4.0,1,13,0,0,4,0,0,23/24,A
Volz,Patrick,HBW,LW,20,76,30,58,18,0.7170000000000001,3.0,7,5,1,1,1,0,0,23/24,A
Walz,Peter,EIS,P,31,75,26,75,0,0.7426,14.0,20,5,2,5,18,0,0,23/24,A
Kozina,Kresimir,FAG,P,28,75,32,75,0,0.7009000000000001,8.0,34,2,10,6,11,3,0,23/24,A
Nothdurft,Tim,BHC ,LW,28,75,21,75,0,0.7813,4.0,7,0,1,0,12,1,0,23/24,A
Weller,Niklas,HSV ,P,28,75,31,75,0,0.7075,4.0,14,2,6,4,20,1,0,23/24,A
Ellefsen a Skipagotu,Elias,THW,CB,29,75,62,74,1,0.5474,48.0,38,2,0,0,4,0,0,23/24,A
Hafner,Max,TVB,CB,23,74,46,74,0,0.6167,56.0,35,3,1,0,2,0,0,23/24,A
Grahovac,Nikola,HBW,P,28,74,21,74,0,0.7789,5.0,999,3,17,8,25,3,0,23/24,A
Prantner,Leo,HBW,Right Wing,24,74,35,71,3,0.6789000000000001,8.0,7,6,0,1,5,0,0,23/24,A
Maric,Marino,TVB,P,31,73,26,73,0,0.7373999999999999,2.0,999,0,0,0,0,0,0,23/24,A
Witzke,Luca,LEI,CB,18,73,45,73,0,0.6186,55.0,32,2,0,0,1,0,0,23/24,A
Lindenchrone Andersen,Jon,RNL,RB,30,73,42,73,0,0.6347999999999999,35.0,999,4,1,0,2,0,0,23/24,A
Ilic,Zoran,HSV,RB,23,73,62,73,0,0.5407,44.0,38,2,3,1,10,0,0,23/24,A
Heiny,Lutz,HCE,LB,25,72,57,72,0,0.5581,27.0,51,0,0,0,3,0,0,23/24,A
Dahmke,Rune,THW,LW,28,70,26,70,0,0.73,7.0,3,9,1,0,2,0,0,23/24,A
Muller,Jerome,HBW,RB,28,70.0,51,70,0,0.58,29.0,47,1,0,0,13,0,0,23/24,A
Edvardsson,Jonathan,HAN ,CB,31,70.0,47,70,0,0.5982999999999999,41.0,26,5,1,0,2,0,0,23/24,A
Einarsson,Teitur Orn,SGF,RB,28,70,57,70,0,0.5512,34.0,13,0,2,2,5,0,0,23/24,A
Laerke,Emil Buhl,TBV,,28,69,57,69,0,0.5476,40.0,37,0,1,0,0,0,0,23/24,A
Laube,Lukas,TVB,P,19,69,19,69,0,0.7841,5.0,10,4,5,3,2,0,0,23/24,A
Smarason,Janus Dadi,SCM,CB,28,68,22,68,0,0.7556,60.0,40,3,0,0,4,1,1,23/24,A
Vujovic,Branko,HAN,RB,-29,67,68,65,2,0.4963,61.0,31,14,2,0,5,1,0,23/24,A
Pregler,Ole,GUM,CB,28,67,50,67,0,0.5726,85.0,45,2,0,0,4,0,0,23/24,A
Fraatz,Yannick,BHC,RW,30,66,35,66,0,0.6535,3.0,6,9,1,0,3,0,0,23/24,A
Lichtlein,Nils,BER,CB,30,65,35,65,0,0.65,54.0,31,1,0,0,1,0,0,23/24,A
Schoch,Jona,HBW ,LB,27,64,72,64,0,0.4706,36.0,36,2,7,5,6,0,0,23/24,A
Smits,Kay,SGF,RB,12,63,34,47,16,0.65,38.0,22,1,1,0,2,0,0,23/24,A
Svensson,Jonathan,HCE ,LB,27,63,55,63,0,0.5339,35.0,42,5,2,0,6,0,0,23/24,A
Reichmann,Tobias,RNL,,-11,62.0,19,31,31,0.7654000000000001,1.0,999,0,0,0,3,0,0,23/24,A
Morante Maldonado,Eloy,BHC,CB,27,62,30,62,0,0.6739,41.0,42,5,1,1,8,0,0,23/24,A
Wagner,Hendrik,WET,LB,31,61,59,61,0,0.5083,25.0,13,8,9,1,14,0,0,23/24,A
Kodrin,Tilen,GUM,LW,30,60,13,60,0,0.8219,2.0,4,0,2,2,7,0,0,23/24,A
Schluroff,Miro,GUM,LB,29,59,45,59,0,0.5672999999999999,30.0,999,2,3,1,4,0,0,23/24,A
Leimeter,Csaba,HBW,RB,30,57.0,48,57,0,0.5428999999999999,31.0,41,2,1,2,9,0,0,23/24,A
Lagergren,Albin,SCM,RB,29,57,21,57,0,0.7308,37.0,24,7,2,0,4,0,0,23/24,A
Kneule,Tim,FAG ,CB,31,55,37,55,0,0.5978,24.0,38,3,3,4,7,0,0,23/24,A
Mensah Larsen,Mads,SGF,CB,30,55,35,54,1,0.6111,,26,0,0,1,9,1,0,23/24,A
Flodman,Andreas,FAG,RW_,28,55,22,51,4,0.7143,2.0,999,11,0,0,3,1,0,23/24,A
Hanne,Martin,HAN,LB,28,55.0,40,55,0,0.5789,17.0,20,2,1,1,11,0,0,23/24,A
Ejlersen,Rasmus Meyer,WET,P,31,54,19,54,0,0.7397,5.0,17,3,8,13,26,1,0,23/24,A
Davidsson,Gustav,RNL,LB,23, 54 ,37,47,7,0.5934,,42,2,1,0,3,0,0,23/24,A
Duvnjak,Domagoj,THW,CB,29,53,37,53,0,0.5889,49.0,14,15,4,0,10,1,0,23/24,A
Budel,Nico,HCE,CB,25,53,46,53,0,0.5354,42.0,34,8,2,3,16,1,0,23/24,A
Damgaard,Michael,SCM,LB,22,53,39,53,0,0.5761,14.0,12,0,0,0,0,0,0,23/24,A
Hanusz,Egon,TVB,CB,29,53,32,51,2,0.6235,39.0,36,6,1,0,2,0,0,23/24,A
Kuhn,Julius,MTM,LB,31, 52 ,40,52,0,0.5652,25.0,26,3,5,1,11,0,0,23/24,A
Mertens,Lukas,SCM,,29,52,25,52,0,0.6753,7.0,2,6,0,0,2,0,0,23/24,A
Forsell Schefvert,Olle,RNL,LB,25,52,37,44,8,0.5843,50.0,37,9,11,0,10,0,0,23/24,A
Mellegard,Emil,WET,,30,52,26,52,0,0.6667000000000001,2.0,999,5,0,0,2,0,0,23/24,A
Zelenovic,Nemanja,WET ,RB,27,52,58,52,0,0.4727,26.0,30,4,1,0,6,0,0,23/24,A
Groetzki,Patrick,RNL,RW,18,51,21,49,2,0.7082999999999999,7.0,7,5,1,0,0,0,0,23/24,A
Pekeler,Hendrik,THW,P,21,51,23,51,0,0.6892,6.0,7,3,7,2,10,0,0,23/24,A
Moraes Ferreira,Rogerio,MTM,P,30,51,22,51,0,0.6986,5.0,6,0,4,0,5,0,0,23/24,A
Mengon,Simone,EIS,LB,29,51,19,51,0,0.73,23.0,26,1,0,0,0,0,0,23/24,A
Gerbl,Maximilian,HAN,,31,51,21,26,25,0.7082999999999999,3.0,1,2,0,0,0,0,0,23/24,A
Peter,Staffan,LEI,RW,25,51,30,51,0,0.6296,2.0,4,2,0,0,3,0,0,23/24,A
Preuss,Moritz,LEI,P,21,50,18,50,0,0.7353000000000001,1.0,10,1,2,0,5,0,0,23/24,A
Mappes,Dominik,GUM,CB,20,50,53,48,2,0.4854,35.0,26,0,0,0,1,0,0,23/24,A
M'Bengue,Djibril,BHC,RB,29,50,57,50,0,0.4673,40.0,26,1,2,1,6,0,0,23/24,A
Vranjes,Vladimir,WET,P,27,50,23,50,0,0.6849,4.0,20,3,8,2,15,1,0,23/24,A
Serrano Villalobos,Jorge,TVB,,27,50,12,50,0,0.8065000000000001,7.0,10,4,0,0,2,0,0,23/24,A
Pfattheicher,Sascha,TVB,RW,29,49,23,49,0,0.6806,4.0,7,6,0,0,1,0,0,23/24,A
Brozovic,Ilija,HAN,P,31,47,22,47,0,0.6812,6.0,9,7,8,1,13,1,0,23/24,A
Bergendahl,Oscar,SCM,P,29,46,10,46,0,0.8214,4.0,10,0,11,5,11,1,0,23/24,A
Landin,Magnus,THW,LW,24,46,14,43,3,0.7667,4.0,5,3,4,1,8,1,0,23/24,A
Fredriksen,Magnus,WET,CB,31,45.0,52,45,0,0.4639,61.0,55,0,2,0,1,0,0,23/24,A
Heinzelmann,Tobias,HBW,P,29,45,31,45,0,0.5921,3.0,18,8,5,1,18,0,0,23/24,A
Becher,Lukas,WET,,27,45,27,31,14,0.625,5.0,3,3,0,1,1,0,0,23/24,A
Runarsson,Andri Mar,LEI,CB,30,45,52,45,0,0.4639,30.0,33,4,0,0,1,0,0,23/24,A
Zieker,Patrick,TVB,LW,30,44,12,44,0,0.7857,6.0,6,3,2,0,10,0,0,23/24,A
